"","obs_date","watershed","precip","streamflow","flag","yr","mo","da","wk"
"1","1969-01-01","8",2.7,0.527,NA,1969,1,1,1
"2","1969-01-02","8",0,0.505,NA,1969,1,2,1
"3","1969-01-03","8",0,0.475,NA,1969,1,3,1
"4","1969-01-04","8",0,0.435,NA,1969,1,4,1
"5","1969-01-05","8",0,0.413,NA,1969,1,5,1
"6","1969-01-06","8",0.2,0.392,NA,1969,1,6,1
"7","1969-01-07","8",31.7,0.394,NA,1969,1,7,1
"8","1969-01-08","8",0.8,0.384,NA,1969,1,8,2
"9","1969-01-09","8",0,0.361,NA,1969,1,9,2
"10","1969-01-10","8",1.1,0.353,NA,1969,1,10,2
"11","1969-01-11","8",0,0.325,NA,1969,1,11,2
"12","1969-01-12","8",0,0.291,NA,1969,1,12,2
"13","1969-01-13","8",0,0.28,NA,1969,1,13,2
"14","1969-01-14","8",1,0.285,NA,1969,1,14,2
"15","1969-01-15","8",0,0.285,NA,1969,1,15,3
"16","1969-01-16","8",0,0.28,NA,1969,1,16,3
"17","1969-01-17","8",0,0.278,NA,1969,1,17,3
"18","1969-01-18","8",8.8,0.28,NA,1969,1,18,3
"19","1969-01-19","8",0,0.332,NA,1969,1,19,3
"20","1969-01-20","8",0,0.434,NA,1969,1,20,3
"21","1969-01-21","8",0,0.423,NA,1969,1,21,3
"22","1969-01-22","8",0,0.401,NA,1969,1,22,4
"23","1969-01-23","8",0,0.393,NA,1969,1,23,4
"24","1969-01-24","8",10.6,0.679,NA,1969,1,24,4
"25","1969-01-25","8",1.1,1.729,NA,1969,1,25,4
"26","1969-01-26","8",0,1.204,NA,1969,1,26,4
"27","1969-01-27","8",0.3,0.929,NA,1969,1,27,4
"28","1969-01-28","8",0,0.83,NA,1969,1,28,4
"29","1969-01-29","8",4.8,0.746,NA,1969,1,29,5
"30","1969-01-30","8",17.6,0.723,NA,1969,1,30,5
"31","1969-01-31","8",8.6,0.678,NA,1969,1,31,5
"32","1969-02-01","8",3.5,0.636,NA,1969,2,1,5
"33","1969-02-02","8",0,0.594,NA,1969,2,2,5
"34","1969-02-03","8",31.6,0.545,NA,1969,2,3,5
"35","1969-02-04","8",2.2,0.514,NA,1969,2,4,5
"36","1969-02-05","8",0.5,0.521,NA,1969,2,5,6
"37","1969-02-06","8",0.6,0.491,NA,1969,2,6,6
"38","1969-02-07","8",0,0.463,NA,1969,2,7,6
"39","1969-02-08","8",0.2,0.434,NA,1969,2,8,6
"40","1969-02-09","8",24.2,0.407,NA,1969,2,9,6
"41","1969-02-10","8",9.3,0.402,NA,1969,2,10,6
"42","1969-02-11","8",0,0.4,NA,1969,2,11,6
"43","1969-02-12","8",1.2,0.393,NA,1969,2,12,7
"44","1969-02-13","8",3.8,0.397,NA,1969,2,13,7
"45","1969-02-14","8",0.5,0.396,NA,1969,2,14,7
"46","1969-02-15","8",0,0.381,NA,1969,2,15,7
"47","1969-02-16","8",0,0.294,NA,1969,2,16,7
