"","obs_date","watershed","winter","Site","snow_depth","swe","frost_depth","frost_pct","yr","mo","da","wk"
"1","1955-12-05",1,1956,"STA1",178,30,-99,-99,1955,12,5,49
"2","1955-12-05",1,1956,"STA2",183,30,0,0,1955,12,5,49
"3","1955-12-05",1,1956,"STA3",234,41,-99,-99,1955,12,5,49
"4","1955-12-19",1,1956,"STA1",249,28,-99,-99,1955,12,19,51
"5","1955-12-19",1,1956,"STA2",287,43,-99,10,1955,12,19,51
"6","1955-12-19",1,1956,"STA3",333,53,-99,-99,1955,12,19,51
"7","1956-01-03",1,1956,"STA1",338,58,-99,-99,1956,1,3,1
"8","1956-01-03",1,1956,"STA2",371,69,53,80,1956,1,3,1
"9","1956-01-03",1,1956,"STA3",495,86,-99,-99,1956,1,3,1
"10","1956-01-09",1,1956,"STA1",160,36,-99,-99,1956,1,9,2
"11","1956-01-09",1,1956,"STA2",-99,69,-99,-99,1956,1,9,2
"12","1956-01-13",1,1956,"STA1",15,-99,-99,-99,1956,1,13,2
"13","1956-01-16",1,1956,"STA1",122,-99,-99,-99,1956,1,16,3
"14","1956-01-16",1,1956,"STA2",119,-99,64,30,1956,1,16,3
"15","1956-01-16",1,1956,"STA3",185,-99,-99,-99,1956,1,16,3
"16","1956-01-23",1,1956,"STA1",114,-99,-99,-99,1956,1,23,4
"17","1956-01-23",1,1956,"STA2",140,-99,43,30,1956,1,23,4
"18","1956-01-23",1,1956,"STA3",264,-99,-99,-99,1956,1,23,4
"19","1956-01-30",1,1956,"STA1",147,33,-99,-99,1956,1,30,5
"20","1956-01-30",1,1956,"STA2",175,38,58,40,1956,1,30,5
"21","1956-01-30",1,1956,"STA3",290,56,-99,-99,1956,1,30,5
"22","1956-02-06",1,1956,"STA1",358,58,-99,-99,1956,2,6,6
"23","1956-02-06",1,1956,"STA2",391,56,69,30,1956,2,6,6
"24","1956-02-06",1,1956,"STA3",503,86,-99,-99,1956,2,6,6
"25","1956-02-13",1,1956,"STA1",419,74,-99,-99,1956,2,13,7
"26","1956-02-13",1,1956,"STA2",465,86,51,10,1956,2,13,7
"27","1956-02-13",1,1956,"STA3",587,117,-99,-99,1956,2,13,7
"28","1956-02-20",1,1956,"STA1",455,84,-99,-99,1956,2,20,8
"29","1956-02-20",1,1956,"STA2",511,104,38,20,1956,2,20,8
"30","1956-02-20",1,1956,"STA3",653,145,-99,-99,1956,2,20,8
"31","1956-02-27",1,1956,"STA1",472,84,-99,-99,1956,2,27,9
"32","1956-02-27",1,1956,"STA2",521,109,28,20,1956,2,27,9
"33","1956-02-27",1,1956,"STA3",678,142,-99,-99,1956,2,27,9
"34","1956-03-06",1,1956,"STA1",617,122,-99,-99,1956,3,6,10
"35","1956-03-06",1,1956,"STA2",701,145,-99,-99,1956,3,6,10
"36","1956-03-06",1,1956,"STA3",899,178,-99,-99,1956,3,6,10
"37","1956-03-12",1,1956,"STA1",632,160,-99,-99,1956,3,12,11
"38","1956-03-12",1,1956,"STA2",716,196,-99,-99,1956,3,12,11
"39","1956-03-12",1,1956,"STA3",874,229,-99,-99,1956,3,12,11
"40","1956-03-19",1,1956,"STA1",828,188,-99,-99,1956,3,19,12
"41","1956-03-19",1,1956,"STA2",912,224,-99,-99,1956,3,19,12
"42","1956-03-19",1,1956,"STA3",1194,269,-99,-99,1956,3,19,12
"43","1956-04-03",1,1956,"STA1",648,190,-99,-99,1956,4,3,14
"44","1956-04-03",1,1956,"STA2",678,236,-99,-99,1956,4,3,14
"45","1956-04-03",1,1956,"STA3",963,295,-99,-99,1956,4,3,14
"46","1956-04-09",1,1956,"STA1",475,160,-99,-99,1956,4,9,15
