"WINTER","Date","Site","snow_depth","swe","frost_depth","frost_pct"
1956,1955-12-05,"STA1",178,30,-99,-99
1956,1955-12-19,"STA1",249,28,-99,-99
1956,1956-01-03,"STA1",338,58,-99,-99
1956,1956-01-09,"STA1",160,36,-99,-99
1956,1956-01-13,"STA1",15,-99,-99,-99
1956,1956-01-16,"STA1",122,-99,-99,-99
1956,1956-01-23,"STA1",114,-99,-99,-99
1956,1956-01-30,"STA1",147,33,-99,-99
1956,1956-02-06,"STA1",358,58,-99,-99
1956,1956-02-13,"STA1",419,74,-99,-99
1956,1956-02-20,"STA1",455,84,-99,-99
1956,1956-02-27,"STA1",472,84,-99,-99
1956,1956-03-06,"STA1",617,122,-99,-99
1956,1956-03-12,"STA1",632,160,-99,-99
1956,1956-03-19,"STA1",828,188,-99,-99
1956,1956-04-03,"STA1",648,190,-99,-99
1956,1956-04-09,"STA1",475,160,-99,-99
1956,1956-04-16,"STA1",305,102,-99,-99
1956,1956-04-23,"STA1",135,28,-99,-99
1957,1956-12-03,"STA1",89,-99,-99,-99
1957,1956-12-10,"STA1",188,-99,-99,-99
1957,1956-12-17,"STA1",61,-99,-99,-99
1957,1956-12-20,"STA1",64,-99,-99,-99
1957,1956-12-26,"STA1",109,-99,-99,-99
1957,1956-12-31,"STA1",414,46,-99,-99
1957,1957-01-07,"STA1",422,58,-99,-99
1957,1957-01-16,"STA1",516,99,-99,-99
1957,1957-01-21,"STA1",450,86,-99,-99
1957,1957-01-28,"STA1",371,84,-99,-99
1957,1957-02-04,"STA1",386,86,-99,-99
1957,1957-02-11,"STA1",439,81,-99,-99
1957,1957-02-18,"STA1",490,109,-99,-99
1957,1957-02-25,"STA1",429,104,-99,-99
1957,1957-03-04,"STA1",241,79,-99,-99
1957,1957-03-11,"STA1",251,109,-99,-99
1957,1957-03-18,"STA1",208,69,-99,-99
1957,1957-03-26,"STA1",58,13,-99,-99
1957,1957-04-01,"STA1",0,0,-99,-99
1957,1957-04-08,"STA1",0,0,-99,-99
1957,1957-04-15,"STA1",0,0,-99,-99
1958,1957-12-02,"STA1",175,18,-99,-99
1958,1957-12-16,"STA1",254,38,-99,-99
1958,1958-01-06,"STA1",165,15,-99,-99
1958,1958-01-20,"STA1",338,71,-99,-99
1958,1958-02-03,"STA1",693,132,-99,-99
1958,1958-02-10,"STA1",818,165,-99,-99
1958,1958-02-17,"STA1",917,168,-99,-99
1958,1958-02-24,"STA1",846,229,-99,-99
1958,1958-03-03,"STA1",869,206,-99,-99
1958,1958-03-10,"STA1",757,185,-99,-99
1958,1958-03-17,"STA1",762,188,-99,-99
1958,1958-03-24,"STA1",709,221,-99,-99
1958,1958-03-31,"STA1",508,145,-99,-99
1958,1958-04-14,"STA1",434,163,-99,-99
1958,1958-04-21,"STA1",-99,0,-99,-99
1959,1958-12-09,"STA1",330,53,-99,-99
1959,1958-12-22,"STA1",404,61,-99,-99
1959,1959-01-07,"STA1",559,104,-99,-99
1959,1959-01-20,"STA1",505,122,-99,-99
1959,1959-01-26,"STA1",559,112,-99,-99
1959,1959-02-02,"STA1",505,117,-99,-99
1959,1959-02-16,"STA1",823,180,-99,-99
1959,1959-02-25,"STA1",968,196,-99,-99
1959,1959-03-10,"STA1",940,226,-99,-99
1959,1959-03-16,"STA1",965,259,-99,-99
1959,1959-03-23,"STA1",767,180,-99,-99
1959,1959-03-30,"STA1",724,208,-99,-99
