"","obs_date","watershed","precip","streamflow","flag","yr","mo","da","wk"
"1","1957-10-01","2",0,0.001,NA,1957,10,1,40
"2","1957-10-02","2",0,0.001,NA,1957,10,2,40
"3","1957-10-03","2",0,0,NA,1957,10,3,40
"4","1957-10-04","2",0,0.001,NA,1957,10,4,40
"5","1957-10-05","2",0,0.001,NA,1957,10,5,40
"6","1957-10-06","2",0,0.001,NA,1957,10,6,40
"7","1957-10-07","2",8.6,0.01,NA,1957,10,7,40
"8","1957-10-08","2",9.7,0.012,NA,1957,10,8,41
"9","1957-10-09","2",0,0.014,NA,1957,10,9,41
"10","1957-10-10","2",0,0.01,NA,1957,10,10,41
"11","1957-10-11","2",0,0.005,NA,1957,10,11,41
"12","1957-10-12","2",0,0.004,NA,1957,10,12,41
"13","1957-10-13","2",0,0.004,NA,1957,10,13,41
"14","1957-10-14","2",0,0.003,NA,1957,10,14,41
"15","1957-10-15","2",0,0.002,NA,1957,10,15,42
"16","1957-10-16","2",0,0.002,NA,1957,10,16,42
"17","1957-10-17","2",0,0.002,NA,1957,10,17,42
"18","1957-10-18","2",12.7,0.008,NA,1957,10,18,42
"19","1957-10-19","2",40.6,3.163,NA,1957,10,19,42
"20","1957-10-20","2",0,1.07,NA,1957,10,20,42
"21","1957-10-21","2",0,0.377,NA,1957,10,21,42
"22","1957-10-22","2",0,0.233,NA,1957,10,22,43
"23","1957-10-23","2",0,0.181,NA,1957,10,23,43
"24","1957-10-24","2",38.9,5.124,NA,1957,10,24,43
"25","1957-10-25","2",0,4.42,NA,1957,10,25,43
"26","1957-10-26","2",0,1.348,NA,1957,10,26,43
"27","1957-10-27","2",0,0.782,NA,1957,10,27,43
"28","1957-10-28","2",0,0.565,NA,1957,10,28,43
"29","1957-10-29","2",0,0.442,NA,1957,10,29,44
"30","1957-10-30","2",0,0.391,NA,1957,10,30,44
"31","1957-10-31","2",0,0.346,NA,1957,10,31,44
"32","1957-11-01","2",10.9,0.396,NA,1957,11,1,44
"33","1957-11-02","2",3.6,1.225,NA,1957,11,2,44
"34","1957-11-03","2",39.4,14.383,NA,1957,11,3,44
"35","1957-11-04","2",3.8,9.811,NA,1957,11,4,44
"36","1957-11-05","2",0,3.513,NA,1957,11,5,45
"37","1957-11-06","2",0,1.949,NA,1957,11,6,45
"38","1957-11-07","2",0,1.314,NA,1957,11,7,45
"39","1957-11-08","2",16.5,1.382,NA,1957,11,8,45
"40","1957-11-09","2",1,6.046,NA,1957,11,9,45
"41","1957-11-10","2",0.5,2.633,NA,1957,11,10,45
"42","1957-11-11","2",0,1.609,NA,1957,11,11,45
"43","1957-11-12","2",0,1.208,NA,1957,11,12,46
"44","1957-11-13","2",0,1.013,NA,1957,11,13,46
"45","1957-11-14","2",10.4,0.963,NA,1957,11,14,46
"46","1957-11-15","2",36.3,27.412,NA,1957,11,15,46
"47","1957-11-16","2",2,6.369,NA,1957,11,16,46
"48","1957-11-17","2",3,3.849,NA,1957,11,17,46
"49","1957-11-18","2",3,2.662,NA,1957,11,18,46
"50","1957-11-19","2",16,7.097,NA,1957,11,19,47
"51","1957-11-20","2",0.5,7.01,NA,1957,11,20,47
"52","1957-11-21","2",0,3.43,NA,1957,11,21,47
"53","1957-11-22","2",0,2.307,NA,1957,11,22,47
"54","1957-11-23","2",0,1.82,NA,1957,11,23,47
"55","1957-11-24","2",2.5,1.5,NA,1957,11,24,47
